Unnamed: 0,pump
4 days 07:45:00,6.4
4 days 08:00:00,7.1
4 days 08:15:00,6.61
4 days 08:30:00,6.37
4 days 08:45:00,7.05
4 days 09:00:00,6.62
4 days 09:15:00,6.77
4 days 09:30:00,6.97
4 days 09:45:00,6.84
4 days 10:00:00,7.41
4 days 10:15:00,7.16
4 days 10:30:00,6.21
4 days 10:45:00,6.06
4 days 11:00:00,6.37
4 days 11:15:00,6.6
4 days 11:30:00,5.65
4 days 11:45:00,5.43
4 days 12:00:00,5.57
4 days 12:15:00,5.63
4 days 12:30:00,5.82
4 days 12:45:00,5.52
4 days 13:00:00,5.68
4 days 13:15:00,5.99
4 days 13:30:00,4.62
4 days 13:45:00,5.22
4 days 14:00:00,6.24
4 days 14:15:00,5.82
4 days 14:30:00,5.11
4 days 14:45:00,5.37
4 days 15:00:00,6.32
4 days 15:15:00,5.36
4 days 15:30:00,6.53
4 days 15:45:00,6.12
4 days 16:00:00,6.15
4 days 16:15:00,6.39
4 days 16:30:00,7.11
4 days 16:45:00,7.06
4 days 17:00:00,6.09
4 days 17:15:00,6.57
4 days 17:30:00,6.32
4 days 17:45:00,6.12
4 days 18:00:00,6.05
4 days 18:15:00,6.94
4 days 18:30:00,6.67
4 days 18:45:00,6.66
4 days 19:00:00,5.66
4 days 19:15:00,5.56
4 days 19:30:00,5.66
4 days 19:45:00,4.49
4 days 20:00:00,4.97
4 days 20:15:00,4.01
4 days 20:30:00,3.89
4 days 20:45:00,4.8
4 days 21:00:00,4.7
4 days 21:15:00,4.64
4 days 21:30:00,4.25
4 days 21:45:00,4.08
4 days 22:00:00,3.4
4 days 22:15:00,3.31
4 days 22:30:00,3.38
4 days 22:45:00,2.58
4 days 23:00:00,2.56
4 days 23:15:00,2.55
4 days 23:30:00,1.96
4 days 23:45:00,1.77
5 days 00:00:00,1.55
5 days 00:15:00,1.64
5 days 00:30:00,1.33
5 days 00:45:00,1.28
5 days 01:00:00,1.39
5 days 01:15:00,1.45
5 days 01:30:00,1.16
5 days 01:45:00,1.29
5 days 02:00:00,1.2
5 days 02:15:00,1.08
5 days 02:30:00,1.13
5 days 02:45:00,1.21
5 days 03:00:00,1.22
5 days 03:15:00,1.41
5 days 03:30:00,1.51
5 days 03:45:00,1.85
5 days 04:00:00,2.7
5 days 04:15:00,2.49
5 days 04:30:00,2.64
5 days 04:45:00,2.48
5 days 05:00:00,3.66
5 days 05:15:00,4.88
5 days 05:30:00,5.03
5 days 05:45:00,4.56
5 days 06:00:00,5.44
5 days 06:15:00,5.38
5 days 06:30:00,5.58
5 days 06:45:00,6.16
5 days 07:00:00,5.82
5 days 07:15:00,6.08
5 days 07:30:00,6.74
5 days 07:45:00,6.74
5 days 08:00:00,6.76
5 days 08:15:00,7.07
5 days 08:30:00,6.66
5 days 08:45:00,7.17
5 days 09:00:00,6.86
5 days 09:15:00,7.14
5 days 09:30:00,6.31
5 days 09:45:00,6.0
5 days 10:00:00,6.24
5 days 10:15:00,6.02
5 days 10:30:00,5.79
5 days 10:45:00,5.48
5 days 11:00:00,6.03
5 days 11:15:00,6.09
5 days 11:30:00,5.6
5 days 11:45:00,5.78
5 days 12:00:00,5.1
5 days 12:15:00,5.68
5 days 12:30:00,5.27
5 days 12:45:00,5.17
5 days 13:00:00,4.96
5 days 13:15:00,5.48
5 days 13:30:00,5.53
5 days 13:45:00,5.62
5 days 14:00:00,5.2
5 days 14:15:00,4.6
5 days 14:30:00,5.02
5 days 14:45:00,5.16
5 days 15:00:00,5.25
5 days 15:15:00,5.22
5 days 15:30:00,4.9
5 days 15:45:00,5.09
5 days 16:00:00,5.58
5 days 16:15:00,6.21
5 days 16:30:00,6.01
5 days 16:45:00,5.29
5 days 17:00:00,6.16
5 days 17:15:00,6.8
5 days 17:30:00,6.38
5 days 17:45:00,5.83
5 days 18:00:00,6.34
5 days 18:15:00,6.3
5 days 18:30:00,6.06
5 days 18:45:00,6.0
5 days 19:00:00,5.49
5 days 19:15:00,5.06
5 days 19:30:00,4.93
5 days 19:45:00,4.74
5 days 20:00:00,5.39
5 days 20:15:00,4.56
5 days 20:30:00,4.4
5 days 20:45:00,5.29
5 days 21:00:00,4.87
5 days 21:15:00,5.13
5 days 21:30:00,3.93
5 days 21:45:00,3.9
5 days 22:00:00,3.64
5 days 22:15:00,3.32
5 days 22:30:00,2.54
5 days 22:45:00,3.0
5 days 23:00:00,2.77
5 days 23:15:00,2.23
5 days 23:30:00,1.88
5 days 23:45:00,2.1
6 days 00:00:00,1.61
6 days 00:15:00,1.55
6 days 00:30:00,1.35
6 days 00:45:00,1.43
6 days 01:00:00,1.53
6 days 01:15:00,1.51
6 days 01:30:00,1.21
6 days 01:45:00,1.12
6 days 02:00:00,1.18
6 days 02:15:00,1.2
6 days 02:30:00,1.09
6 days 02:45:00,1.21
6 days 03:00:00,1.14
6 days 03:15:00,1.33
6 days 03:30:00,1.73
6 days 03:45:00,1.92
6 days 04:00:00,2.42
6 days 04:15:00,2.81
6 days 04:30:00,2.64
6 days 04:45:00,2.52
6 days 05:00:00,3.5
6 days 05:15:00,4.32
6 days 05:30:00,4.59
6 days 05:45:00,5.12
6 days 06:00:00,5.22
6 days 06:15:00,5.5
6 days 06:30:00,5.76
6 days 06:45:00,5.88
6 days 07:00:00,5.8
6 days 07:15:00,6.53
6 days 07:30:00,6.3
6 days 07:45:00,5.88
6 days 08:00:00,6.68
6 days 08:15:00,6.62
6 days 08:30:00,5.76
6 days 08:45:00,6.85
6 days 09:00:00,7.0
6 days 09:15:00,6.53
6 days 09:30:00,6.83
6 days 09:45:00,7.29
6 days 10:00:00,7.12
6 days 10:15:00,6.88
6 days 10:30:00,6.25
6 days 10:45:00,6.51
6 days 11:00:00,5.89
6 days 11:15:00,6.17
6 days 11:30:00,6.13
6 days 11:45:00,6.16
6 days 12:00:00,6.52
6 days 12:15:00,6.12
6 days 12:30:00,5.67
6 days 12:45:00,6.13
6 days 13:00:00,5.95
6 days 13:15:00,6.18
6 days 13:30:00,5.14
6 days 13:45:00,5.54
6 days 14:00:00,5.67
6 days 14:15:00,5.72
6 days 14:30:00,5.86
6 days 14:45:00,6.01
6 days 15:00:00,6.3
6 days 15:15:00,5.83
6 days 15:30:00,6.73
6 days 15:45:00,6.37
6 days 16:00:00,6.14
6 days 16:15:00,6.9
6 days 16:30:00,6.62
6 days 16:45:00,6.8
6 days 17:00:00,6.19
6 days 17:15:00,5.86
6 days 17:30:00,6.31
6 days 17:45:00,5.67
6 days 18:00:00,5.76
6 days 18:15:00,6.57
6 days 18:30:00,6.06
6 days 18:45:00,5.41
6 days 19:00:00,5.9
6 days 19:15:00,5.64
6 days 19:30:00,5.45
6 days 19:45:00,4.37
6 days 20:00:00,4.58
6 days 20:15:00,4.85
6 days 20:30:00,3.89
6 days 20:45:00,4.05
6 days 21:00:00,4.3
6 days 21:15:00,4.09
6 days 21:30:00,4.48
6 days 21:45:00,3.99
6 days 22:00:00,3.62
6 days 22:15:00,3.68
6 days 22:30:00,3.86
6 days 22:45:00,3.68
6 days 23:00:00,3.11
6 days 23:15:00,3.22
6 days 23:30:00,2.7
6 days 23:45:00,2.64
7 days 00:00:00,2.4
7 days 00:15:00,1.83
7 days 00:30:00,1.91
7 days 00:45:00,1.62
7 days 01:00:00,1.77
7 days 01:15:00,1.5
7 days 01:30:00,1.55
7 days 01:45:00,1.44
7 days 02:00:00,1.41
7 days 02:15:00,1.36
7 days 02:30:00,1.34
7 days 02:45:00,1.29
7 days 03:00:00,1.34
7 days 03:15:00,1.37
7 days 03:30:00,1.41
7 days 03:45:00,1.45
7 days 04:00:00,1.49
