Unnamed: 0,p1,p3,p2
2 days 17:00:00,103.64,113.28,41.16
2 days 17:15:00,103.64,113.27,41.09
2 days 17:30:00,103.64,113.28,41.19
2 days 17:45:00,103.64,113.3,41.27
2 days 18:00:00,103.65,113.28,41.16
2 days 18:15:00,103.65,113.28,41.22
2 days 18:30:00,103.65,113.26,41.12
2 days 18:45:00,103.65,113.29,41.25
2 days 19:00:00,103.65,113.28,41.27
2 days 19:15:00,103.65,113.3,41.38
2 days 19:30:00,103.65,113.3,41.37
2 days 19:45:00,103.65,113.3,41.36
2 days 20:00:00,103.65,113.31,41.42
2 days 20:15:00,103.65,113.32,41.47
2 days 20:30:00,103.65,113.32,41.45
2 days 20:45:00,103.65,113.31,41.36
2 days 21:00:00,103.65,113.31,41.4
2 days 21:15:00,103.65,113.31,41.41
2 days 21:30:00,103.65,113.32,41.46
2 days 21:45:00,103.65,113.32,41.47
2 days 22:00:00,103.66,113.31,41.49
2 days 22:15:00,103.66,113.32,41.52
2 days 22:30:00,103.66,113.32,41.58
2 days 22:45:00,103.66,113.31,41.53
2 days 23:00:00,103.66,113.32,41.55
2 days 23:15:00,103.66,113.32,41.61
2 days 23:30:00,103.66,113.32,41.63
2 days 23:45:00,103.66,113.32,41.64
3 days 00:00:00,103.66,113.32,41.65
3 days 00:15:00,103.66,113.32,41.66
3 days 00:30:00,103.66,113.32,41.66
3 days 00:45:00,103.66,113.32,41.66
3 days 01:00:00,103.66,113.32,41.66
3 days 01:15:00,103.66,113.32,41.66
3 days 01:30:00,103.66,113.32,41.67
3 days 01:45:00,103.66,113.32,41.67
3 days 02:00:00,103.66,113.32,41.67
3 days 02:15:00,103.66,113.32,41.66
3 days 02:30:00,103.66,113.32,41.66
3 days 02:45:00,103.66,113.32,41.65
3 days 03:00:00,103.66,113.32,41.67
3 days 03:15:00,103.66,113.32,41.65
3 days 03:30:00,103.66,113.32,41.63
3 days 03:45:00,103.66,113.32,41.62
3 days 04:00:00,103.66,113.32,41.6
3 days 04:15:00,103.66,113.32,41.57
3 days 04:30:00,103.66,113.32,41.6
3 days 04:45:00,103.66,113.32,41.58
3 days 05:00:00,103.66,113.32,41.48
3 days 05:15:00,103.65,113.32,41.44
3 days 05:30:00,103.65,113.31,41.42
3 days 05:45:00,103.65,113.31,41.45
3 days 06:00:00,103.65,113.3,41.33
3 days 06:15:00,103.65,113.31,41.39
3 days 06:30:00,103.64,113.3,41.28
3 days 06:45:00,103.64,113.29,41.23
3 days 07:00:00,103.65,113.3,41.22
3 days 07:15:00,103.65,113.28,41.2
3 days 07:30:00,103.65,113.31,41.22
3 days 07:45:00,103.64,113.29,41.1
3 days 08:00:00,103.64,113.3,41.12
3 days 08:15:00,103.64,113.3,41.13
3 days 08:30:00,103.64,113.28,41.1
3 days 08:45:00,103.64,113.27,41.09
3 days 09:00:00,103.64,113.26,41.09
3 days 09:15:00,103.64,113.28,41.07
3 days 09:30:00,103.64,113.29,41.18
3 days 09:45:00,103.64,113.29,41.17
3 days 10:00:00,103.65,113.3,41.31
3 days 10:15:00,103.65,113.3,41.18
3 days 10:30:00,103.65,113.3,41.13
3 days 10:45:00,103.65,113.3,41.31
3 days 11:00:00,103.64,113.3,41.29
3 days 11:15:00,103.64,113.3,41.21
3 days 11:30:00,103.64,113.31,41.23
3 days 11:45:00,103.64,113.29,41.19
3 days 12:00:00,103.65,113.29,41.35
